hotel,ciudad,fecha,texto,rating,sentimiento
Luna Park,Zaragoza,2023-07-20,El baño estaba sucio al llegar.,5.4,negativo
Mar y Montaña,Zaragoza,2023-05-15,Habitaciones muy cómodas y tranquilas.,7.8,positivo
Vista Real,Valencia,2023-10-28,Servicio amable. Volvería sin dudarlo.,9.0,positivo
Costa Mar,San Sebastián,2023-12-28,Falta de mantenimiento en las instalaciones.,6.0,negativo
Brisa Marina,Valencia,2023-06-19,Habitaciones muy cómodas y tranquilas.,7.9,positivo
Hotel Sol,Sevilla,2023-04-08,Habitaciones muy cómodas y tranquilas.,8.4,positivo
Costa Mar,San Sebastián,2023-01-01,Habitaciones muy cómodas y tranquilas.,8.7,positivo
Playa Azul,Málaga,2023-04-06,Relación calidad-precio excelente.,7.7,positivo
Mar y Montaña,Sevilla,2023-10-07,Relación calidad-precio excelente.,8.5,positivo
Vista Real,Salamanca,2023-11-08,Falta de mantenimiento en las instalaciones.,5.0,negativo
Puerto Dorado,Granada,2023-05-12,Servicio amable. Volvería sin dudarlo.,9.2,positivo
Bahía Palace,Valencia,2023-07-15,Relación calidad-precio excelente.,7.3,positivo
Playa Azul,Málaga,2023-09-14,Habitaciones muy cómodas y tranquilas.,7.1,positivo
Bahía Palace,Valencia,2023-08-26,Falta de mantenimiento en las instalaciones.,4.2,negativo
Costa Mar,Bilbao,2023-12-01,Relación calidad-precio excelente.,7.5,positivo
Brisa Marina,Granada,2023-07-27,Servicio amable. Volvería sin dudarlo.,7.4,positivo
Hotel Sol,San Sebastián,2023-03-20,Demasiado ruido durante la noche.,5.3,negativo
Puerto Dorado,Valencia,2023-01-25,Desayuno espectacular y personal muy atento.,9.0,positivo
Playa Azul,Málaga,2023-10-17,Demasiado ruido durante la noche.,5.0,negativo
Playa Azul,Bilbao,2023-03-27,Demasiado ruido durante la noche.,4.2,negativo
Costa Mar,Sevilla,2023-09-16,Personal poco atento y recepción caótica.,5.4,negativo
Luna Park,Málaga,2023-09-10,El baño estaba sucio al llegar.,5.4,negativo
Brisa Marina,Bilbao,2023-04-24,Precio elevado para la calidad ofrecida.,4.3,negativo
Vista Real,Salamanca,2023-01-14,Precio elevado para la calidad ofrecida.,4.7,negativo
Brisa Marina,Valencia,2023-02-11,Demasiado ruido durante la noche.,4.3,negativo
Playa Azul,Valencia,2023-05-18,El baño estaba sucio al llegar.,5.0,negativo
Oasis Beach,Málaga,2023-08-25,Habitaciones muy cómodas y tranquilas.,9.0,positivo
Bahía Palace,Valencia,2023-07-01,Precio elevado para la calidad ofrecida.,5.8,negativo
Vista Real,Salamanca,2023-11-17,El baño estaba sucio al llegar.,5.5,negativo
Bahía Palace,Madrid,2023-04-18,Demasiado ruido durante la noche.,4.2,negativo
Costa Mar,Barcelona,2023-07-15,Personal poco atento y recepción caótica.,5.0,negativo
Playa Azul,Valencia,2023-09-22,Personal poco atento y recepción caótica.,4.7,negativo
Hotel Sol,Granada,2023-10-23,Precio elevado para la calidad ofrecida.,4.9,negativo
Puerto Dorado,Sevilla,2023-11-23,Relación calidad-precio excelente.,8.2,positivo
Bahía Palace,Bilbao,2023-11-12,Demasiado ruido durante la noche.,4.5,negativo
Playa Azul,Granada,2023-06-15,Habitaciones muy cómodas y tranquilas.,8.1,positivo
Luna Park,Sevilla,2023-03-17,Personal poco atento y recepción caótica.,5.9,negativo
Bahía Palace,Madrid,2023-01-02,Relación calidad-precio excelente.,8.3,positivo
Oasis Beach,Barcelona,2023-05-04,Demasiado ruido durante la noche.,5.6,negativo
Bahía Palace,Málaga,2023-02-16,Demasiado ruido durante la noche.,5.8,negativo
Brisa Marina,Granada,2023-01-16,Falta de mantenimiento en las instalaciones.,4.2,negativo
Vista Real,Valencia,2023-10-25,Demasiado ruido durante la noche.,5.5,negativo
Mar y Montaña,Bilbao,2023-02-16,Desayuno espectacular y personal muy atento.,8.8,positivo
Playa Azul,Granada,2023-07-16,Relación calidad-precio excelente.,7.3,positivo
Brisa Marina,Málaga,2023-07-08,Muy buena ubicación y excelente limpieza.,9.0,positivo
Oasis Beach,Valencia,2023-05-27,Falta de mantenimiento en las instalaciones.,5.3,negativo
Vista Real,San Sebastián,2023-11-01,Habitaciones muy cómodas y tranquilas.,7.2,positivo
Costa Mar,Salamanca,2023-09-14,Muy buena ubicación y excelente limpieza.,7.5,positivo
Vista Real,Salamanca,2023-05-22,Personal poco atento y recepción caótica.,4.5,negativo
Costa Mar,Valencia,2023-11-09,Desayuno espectacular y personal muy atento.,7.9,positivo
Puerto Dorado,San Sebastián,2023-09-07,Personal poco atento y recepción caótica.,4.6,negativo
Luna Park,Sevilla,2023-11-04,El baño estaba sucio al llegar.,4.7,negativo
Luna Park,Málaga,2023-07-26,El baño estaba sucio al llegar.,5.0,negativo
Playa Azul,Salamanca,2023-04-09,Personal poco atento y recepción caótica.,5.1,negativo
Playa Azul,Valencia,2023-09-27,Desayuno espectacular y personal muy atento.,9.0,positivo
Costa Mar,Zaragoza,2023-04-02,Falta de mantenimiento en las instalaciones.,4.3,negativo
Brisa Marina,Bilbao,2023-06-21,Personal poco atento y recepción caótica.,4.8,negativo
Hotel Sol,Madrid,2023-07-21,Desayuno espectacular y personal muy atento.,8.5,positivo
Brisa Marina,Valencia,2023-03-05,Demasiado ruido durante la noche.,5.4,negativo
Costa Mar,Barcelona,2023-11-10,Falta de mantenimiento en las instalaciones.,5.0,negativo
Costa Mar,Valencia,2023-01-09,Precio elevado para la calidad ofrecida.,4.1,negativo
Luna Park,Bilbao,2023-02-08,Desayuno espectacular y personal muy atento.,9.3,positivo
Luna Park,Bilbao,2023-11-19,Personal poco atento y recepción caótica.,4.9,negativo
Bahía Palace,Zaragoza,2023-11-04,Muy buena ubicación y excelente limpieza.,7.4,positivo
Puerto Dorado,Sevilla,2023-07-23,Precio elevado para la calidad ofrecida.,5.6,negativo
Hotel Sol,Sevilla,2023-04-23,Servicio amable. Volvería sin dudarlo.,8.0,positivo
Playa Azul,Sevilla,2023-04-23,Demasiado ruido durante la noche.,4.4,negativo
Luna Park,Valencia,2023-01-28,Precio elevado para la calidad ofrecida.,5.1,negativo
Oasis Beach,Sevilla,2023-07-12,Precio elevado para la calidad ofrecida.,5.4,negativo
Vista Real,Málaga,2023-05-14,Habitaciones muy cómodas y tranquilas.,9.7,positivo
Vista Real,Granada,2023-09-25,Desayuno espectacular y personal muy atento.,7.3,positivo
Puerto Dorado,Madrid,2023-11-06,Desayuno espectacular y personal muy atento.,7.8,positivo
Brisa Marina,San Sebastián,2023-02-12,Demasiado ruido durante la noche.,5.9,negativo
Brisa Marina,Granada,2023-07-02,Desayuno espectacular y personal muy atento.,8.6,positivo
Hotel Sol,Granada,2023-06-09,El baño estaba sucio al llegar.,5.5,negativo
Bahía Palace,Madrid,2023-02-22,Muy buena ubicación y excelente limpieza.,8.4,positivo
Luna Park,Bilbao,2023-05-28,Demasiado ruido durante la noche.,5.8,negativo
Luna Park,Barcelona,2023-11-21,Falta de mantenimiento en las instalaciones.,5.1,negativo
Brisa Marina,Madrid,2023-09-01,Precio elevado para la calidad ofrecida.,4.9,negativo
Luna Park,Valencia,2023-03-20,Relación calidad-precio excelente.,7.2,positivo
Mar y Montaña,Barcelona,2023-04-02,Precio elevado para la calidad ofrecida.,4.6,negativo
Bahía Palace,Sevilla,2023-12-10,El baño estaba sucio al llegar.,5.1,negativo
Hotel Sol,Valencia,2023-12-01,Habitaciones muy cómodas y tranquilas.,7.8,positivo
Hotel Sol,San Sebastián,2023-07-10,Personal poco atento y recepción caótica.,6.0,negativo
Mar y Montaña,Barcelona,2023-06-27,Relación calidad-precio excelente.,8.1,positivo
Mar y Montaña,Málaga,2023-11-16,Personal poco atento y recepción caótica.,4.2,negativo
Playa Azul,Granada,2023-08-10,Personal poco atento y recepción caótica.,4.4,negativo
Puerto Dorado,Málaga,2023-08-14,Desayuno espectacular y personal muy atento.,9.8,positivo
Mar y Montaña,Zaragoza,2023-12-10,El baño estaba sucio al llegar.,4.6,negativo
Vista Real,Zaragoza,2023-06-19,Servicio amable. Volvería sin dudarlo.,7.5,positivo
Bahía Palace,Zaragoza,2023-07-06,Falta de mantenimiento en las instalaciones.,4.6,negativo
Hotel Sol,Málaga,2023-02-18,Personal poco atento y recepción caótica.,4.1,negativo
Brisa Marina,Málaga,2023-06-27,Personal poco atento y recepción caótica.,5.2,negativo
Mar y Montaña,Valencia,2023-06-05,Servicio amable. Volvería sin dudarlo.,7.0,positivo
Puerto Dorado,Barcelona,2023-06-28,Desayuno espectacular y personal muy atento.,8.0,positivo
Oasis Beach,Valencia,2023-09-19,Muy buena ubicación y excelente limpieza.,9.5,positivo
Playa Azul,Bilbao,2023-03-04,El baño estaba sucio al llegar.,5.7,negativo
Brisa Marina,Madrid,2023-04-16,Habitaciones muy cómodas y tranquilas.,7.7,positivo
Puerto Dorado,Granada,2023-05-01,Servicio amable. Volvería sin dudarlo.,8.2,positivo
Hotel Sol,Barcelona,2023-11-02,Relación calidad-precio excelente.,9.3,positivo
Puerto Dorado,Granada,2023-12-17,Precio elevado para la calidad ofrecida.,4.4,negativo
Brisa Marina,San Sebastián,2023-02-21,Personal poco atento y recepción caótica.,5.7,negativo
Oasis Beach,Bilbao,2023-05-10,Muy buena ubicación y excelente limpieza.,7.1,positivo
Hotel Sol,Madrid,2023-07-23,Desayuno espectacular y personal muy atento.,9.5,positivo
Brisa Marina,Valencia,2023-11-11,Relación calidad-precio excelente.,9.0,positivo
Playa Azul,Málaga,2023-01-26,Falta de mantenimiento en las instalaciones.,5.0,negativo
Brisa Marina,Zaragoza,2023-01-02,Desayuno espectacular y personal muy atento.,7.2,positivo
Costa Mar,Granada,2023-10-18,Precio elevado para la calidad ofrecida.,5.2,negativo
Hotel Sol,Salamanca,2023-09-21,Demasiado ruido durante la noche.,5.1,negativo
Mar y Montaña,Zaragoza,2023-09-10,Desayuno espectacular y personal muy atento.,8.5,positivo
Luna Park,San Sebastián,2023-03-03,Muy buena ubicación y excelente limpieza.,9.1,positivo
Puerto Dorado,San Sebastián,2023-09-02,Precio elevado para la calidad ofrecida.,4.5,negativo
Puerto Dorado,Sevilla,2023-04-19,Demasiado ruido durante la noche.,5.5,negativo
Oasis Beach,Barcelona,2023-06-01,Falta de mantenimiento en las instalaciones.,4.5,negativo
Hotel Sol,Granada,2023-09-05,Relación calidad-precio excelente.,7.3,positivo
Hotel Sol,Madrid,2023-01-07,Relación calidad-precio excelente.,7.9,positivo
Hotel Sol,Madrid,2023-09-16,Personal poco atento y recepción caótica.,5.1,negativo
Mar y Montaña,Barcelona,2023-05-21,Desayuno espectacular y personal muy atento.,9.0,positivo
Puerto Dorado,Valencia,2023-01-09,Habitaciones muy cómodas y tranquilas.,9.2,positivo
Brisa Marina,Bilbao,2023-02-17,Relación calidad-precio excelente.,7.3,positivo
Bahía Palace,Bilbao,2023-03-04,Demasiado ruido durante la noche.,5.1,negativo
Costa Mar,Málaga,2023-05-24,Demasiado ruido durante la noche.,5.4,negativo
Mar y Montaña,Bilbao,2023-09-23,Falta de mantenimiento en las instalaciones.,5.1,negativo
Oasis Beach,Madrid,2023-05-28,Desayuno espectacular y personal muy atento.,7.8,positivo
Oasis Beach,Zaragoza,2023-04-16,El baño estaba sucio al llegar.,4.3,negativo
Puerto Dorado,Bilbao,2023-12-04,Precio elevado para la calidad ofrecida.,5.6,negativo
Hotel Sol,Madrid,2023-04-17,Habitaciones muy cómodas y tranquilas.,8.6,positivo
Bahía Palace,Valencia,2023-04-27,Servicio amable. Volvería sin dudarlo.,7.6,positivo
Vista Real,Málaga,2023-04-10,Servicio amable. Volvería sin dudarlo.,8.2,positivo
Costa Mar,San Sebastián,2023-01-10,Falta de mantenimiento en las instalaciones.,5.1,negativo
Luna Park,San Sebastián,2023-08-19,El baño estaba sucio al llegar.,4.7,negativo
Oasis Beach,Salamanca,2023-04-07,Demasiado ruido durante la noche.,4.8,negativo
Costa Mar,San Sebastián,2023-08-06,Servicio amable. Volvería sin dudarlo.,7.7,positivo
Oasis Beach,Salamanca,2023-03-22,Demasiado ruido durante la noche.,6.0,negativo
Mar y Montaña,Granada,2023-09-17,Muy buena ubicación y excelente limpieza.,7.2,positivo
Puerto Dorado,Bilbao,2023-01-18,Muy buena ubicación y excelente limpieza.,8.4,positivo
Puerto Dorado,Sevilla,2023-01-05,El baño estaba sucio al llegar.,4.5,negativo
Brisa Marina,Granada,2023-07-28,Habitaciones muy cómodas y tranquilas.,9.5,positivo
